OID,Name,NCI Codelist Code,Data Type,Rank,Order,Term,NCI Term Code,Decoded Value,Comment,IsNonStandard,StandardOID
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,12,Gamma Glutamyl Transferase (U/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,13,Glucose (mmol/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,14,Potassium (mmol/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,15,Phosphate (mmol/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,16,Protein (g/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,17,Sodium (mmol/L),,,,Yes,
CL.PARAM_ADLBC,PARAM_ADLBC,,text,,18,Urate (umol/L),,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,1,"Alanine Aminotransferase (U/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,2,"Albumin (g/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,3,"Alkaline Phosphatase (U/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,4,"Aspartate Aminotransferase (U/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,5,"Bilirubin (umol/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,6,"Blood Urea Nitrogen (mmol/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,7,"Calcium (mmol/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,8,"Chloride (mmol/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,9,"Cholesterol (mmol/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,10,"Creatine Kinase (U/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,11,"Creatinine (umol/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,12,"Gamma Glutamyl Transferase (U/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,13,"Glucose (mmol/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,14,"Phosphate (mmol/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,15,"Potassium (mmol/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,16,"Protein (g/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,17,"Sodium (mmol/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBCPV,PARAM_ADLBCPV,,text,,18,"Urate (umol/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,1,Anisocytes,,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,2,Basophils (GI/L),,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,3,Eosinophils (GI/L),,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,4,Hematocrit,,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,5,Hemoglobin (mmol/L),,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,6,Lymphocytes (GI/L),,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,7,Macrocytes,,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,8,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,9,Ery. Mean Corpuscular HGB Concentration (mmol/L),,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,10,Ery. Mean Corpuscular Volume (fL),,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,11,Microcytes,,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,12,Monocytes (GI/L),,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,13,Platelet (GI/L),,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,14,Poikilocytes,,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,15,Polychromasia,,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,16,Erythrocytes (TI/L),,,,Yes,
CL.PARAM_ADLBH,PARAM_ADLBH,,text,,17,Leukocytes (GI/L),,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,1,"Anisocytes change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,2,"Basophils (GI/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,3,"Eosinophils (GI/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,4,"Ery. Mean Corpuscular HGB Concentration (mmol/L) change from previous visit, relative to normal rang",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,5,"Ery. Mean Corpuscular Hemoglobin (fmol(Fe)) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,6,"Ery. Mean Corpuscular Volume (fL) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,7,"Erythrocytes (TI/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,8,"Hematocrit change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,9,"Hemoglobin (mmol/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,10,"Leukocytes (GI/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,11,"Lymphocytes (GI/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,12,"Macrocytes change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,13,"Microcytes change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,14,"Monocytes (GI/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,15,"Platelet (GI/L) change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,16,"Poikilocytes change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHPV,PARAM_ADLBHPV,,text,,17,"Polychromasia change from previous visit, relative to normal range",,,,Yes,
CL.PARAM_ADLBHY,PARAM_ADLBHY,,text,,1,Alanine Aminotransferase (U/L),,,,Yes,
CL.PARAM_ADLBHY,PARAM_ADLBHY,,text,,2,Aspartate Aminotransferase (U/L),,,,Yes,
CL.PARAM_ADLBHY,PARAM_ADLBHY,,text,,3,Bilirubin (umol/L),,,,Yes,
CL.PARAM_ADLBHY,PARAM_ADLBHY,,text,,4,Bilirubin 1.5 x ULN,,,,Yes,
CL.PARAM_ADLBHY,PARAM_ADLBHY,,text,,5,Transaminase 1.5 x ULN,,,,Yes,
CL.PARAM_ADLBHY,PARAM_ADLBHY,,text,,6,Total Bili 1.5 x ULN and Transaminase 1.5 x ULN,,,,Yes,
CL.PARAM_ADQSADAS,PARAM_ADQSADAS,,text,,1,Word Recall Task,,,,Yes,
CL.PARAM_ADQSADAS,PARAM_ADQSADAS,,text,,2,Naming Objects And Fingers (Refer To 5 C,,,,Yes,
CL.PARAM_ADQSADAS,PARAM_ADQSADAS,,text,,3,Delayed Word Recall,,,,Yes,
CL.PARAM_ADQSADAS,PARAM_ADQSADAS,,text,,4,Commands,,,,Yes,
CL.PARAM_ADQSADAS,PARAM_ADQSADAS,,text,,5,Constructional Praxis,,,,Yes,
CL.PARAM_ADQSADAS,PARAM_ADQSADAS,,text,,6,Ideational Praxis,,,,Yes,
CL.PARAM_ADQSADAS,PARAM_ADQSADAS,,text,,7,Orientation,,,,Yes,
CL.PARAM_ADQSADAS,PARAM_ADQSADAS,,text,,8,Word Recognition,,,,Yes,
CL.PARAM_ADQSADAS,PARAM_ADQSADAS,,text,,9,Attention/Visual Search Task,,,,Yes,
CL.PARAM_ADQSADAS,PARAM_ADQSADAS,,text,,10,Maze Solution,,,,Yes,
CL.PARAM_ADQSADAS,PARAM_ADQSADAS,,text,,11,Spoken Language Ability,,,,Yes,
CL.PARAM_ADQSADAS,PARAM_ADQSADAS,,text,,12,Comprehension Of Spoken Language,,,,Yes,
CL.PARAM_ADQSADAS,PARAM_ADQSADAS,,text,,13,Word Finding Difficulty In Spontaneous S,,,,Yes,
CL.PARAM_ADQSADAS,PARAM_ADQSADAS,,text,,14,Recall Of Test Instructions,,,,Yes,
CL.PARAM_ADQSADAS,PARAM_ADQSADAS,,text,,15,Adas-Cog(11) Subscore,,,,Yes,
CL.PARAM_ADQSCIBC,PARAM_ADQSCIBC,,text,,1,CIBIC Score,,,,Yes,
CL.PARAM_ADQSNPIX,PARAM_ADQSNPIX,,text,,1,NPI-X Item A (Delusion) Score,,,,Yes,
CL.PARAM_ADQSNPIX,PARAM_ADQSNPIX,,text,,2,NPI-X Item B (Hallucination) Score,,,,Yes,
CL.PARAM_ADQSNPIX,PARAM_ADQSNPIX,,text,,3,NPI-X Item C (Agitation/Agression) Score,,,,Yes,
CL.PARAM_ADQSNPIX,PARAM_ADQSNPIX,,text,,4,NPI-X Item D (Depression/Dysphoria) Score,,,,Yes,
CL.PARAM_ADQSNPIX,PARAM_ADQSNPIX,,text,,5,NPI-X Item E (Anxiety) Score,,,,Yes,
CL.PARAM_ADQSNPIX,PARAM_ADQSNPIX,,text,,6,NPI-X Item F (Eupohoria/Elation) Score,,,,Yes,
CL.PARAM_ADQSNPIX,PARAM_ADQSNPIX,,text,,7,NPI-X Item G (Apathy/Indifference) Score,,,,Yes,
CL.PARAM_ADQSNPIX,PARAM_ADQSNPIX,,text,,8,NPI-X Item H (Disinhibition) Score,,,,Yes,
CL.PARAM_ADQSNPIX,PARAM_ADQSNPIX,,text,,9,NPI-X Item I (Irritability/Lability) Score,,,,Yes,
CL.PARAM_ADQSNPIX,PARAM_ADQSNPIX,,text,,10,NPI-X Item J (Aberrant Motor Behavior) Score,,,,Yes,
CL.PARAM_ADQSNPIX,PARAM_ADQSNPIX,,text,,11,NPI-X Item K (Night-time Behavior) Score,,,,Yes,
CL.PARAM_ADQSNPIX,PARAM_ADQSNPIX,,text,,12,NPI-X Item L (Appetite/Eating Change) Score,,,,Yes,
CL.PARAM_ADQSNPIX,PARAM_ADQSNPIX,,text,,13,NPI-X (9) Total Score,,,,Yes,
CL.PARAM_ADQSNPIX,PARAM_ADQSNPIX,,text,,14,Mean NPI-X (9) Total (Week 4 to 24),,,,Yes,
CL.PARAM_ADTTE,PARAM_ADTTE,,text,,1,Time to First Dermatologic Event,,,,Yes,
CL.PARAM_ADVS,PARAM_ADVS,,text,,1,Systolic Blood Pressure (mmHg),,,,Yes,
CL.PARAM_ADVS,PARAM_ADVS,,text,,2,Diastolic Blood Pressure (mmHg),,,,Yes,
CL.PARAM_ADVS,PARAM_ADVS,,text,,3,Pulse Rate (beats/min),,,,Yes,
CL.PARAM_ADVS,PARAM_ADVS,,text,,4,Weight (kg),,,,Yes,
CL.PARAM_ADVS,PARAM_ADVS,,text,,5,Height (cm),,,,Yes,
CL.PARAM_ADVS,PARAM_ADVS,,text,,6,Temperature (C),,,,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,1,ALB,,Albumin (g/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,2,ALP,,Alkaline Phosphatase (U/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,3,ALT,,Alanine Aminotransferase (U/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,4,AST,,Aspartate Aminotransferase (U/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,5,BILI,,Bilirubin (umol/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,6,BUN,,Blood Urea Nitrogen (mmol/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,7,CA,,Calcium (mmol/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,8,CHOL,,Cholesterol (mmol/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,9,CK,,Creatine Kinase (U/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,10,CL,,Chloride (mmol/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,11,CREAT,,Creatinine (umol/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,12,GGT,,Gamma Glutamyl Transferase (U/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,13,GLUC,,Glucose (mmol/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,14,K,,Potassium (mmol/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,15,PHOS,,Phosphate (mmol/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,16,PROT,,Protein (g/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,17,SODIUM,,Sodium (mmol/L),,Yes,
CL.PARAMCD_ADLBC,PARAMCD_ADLBC,,text,,18,URATE,,Urate (umol/L),,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_ALB,,"Albumin (g/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_ALP,,"Alkaline Phosphatase (U/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_ALT,,"Alanine Aminotransferase (U/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_AST,,"Aspartate Aminotransferase (U/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_BILI,,"Bilirubin (umol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_BUN,,"Blood Urea Nitrogen (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_CA,,"Calcium (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_CHOL,,"Cholesterol (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_CK,,"Creatine Kinase (U/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_CL,,"Chloride (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_CREAT,,"Creatinine (umol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_GGT,,"Gamma Glutamyl Transferase (U/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_GLUC,,"Glucose (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_K,,"Potassium (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_PHOS,,"Phosphate (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_PROT,,"Protein (g/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_SODIUM,,"Sodium (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBCPV,PARAMCD_ADLBCPV,,text,,,_URATE,,"Urate (umol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,1,ANISO,,Anisocytes,,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,2,BASO,,Basophils (GI/L),,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,3,EOS,,Eosinophils (GI/L),,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,4,HCT,,Hematocrit,,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,5,HGB,,Hemoglobin (mmol/L),,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,6,LYM,,Lymphocytes (GI/L),,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,7,MACROCY,,Macrocytes,,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,8,MCH,,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,9,MCHC,,Ery. Mean Corpuscular HGB Concentration (mmol/L),,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,10,MCV,,Ery. Mean Corpuscular Volume (fL),,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,11,MICROCY,,Microcytes,,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,12,MONO,,Monocytes (GI/L),,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,13,PLAT,,Platelet (GI/L),,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,14,POIKILO,,Poikilocytes,,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,15,POLYCHR,,Polychromasia,,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,16,RBC,,Erythrocytes (TI/L),,Yes,
CL.PARAMCD_ADLBH,PARAMCD_ADLBH,,text,,17,WBC,,Leukocytes (GI/L),,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_ANISO,,"Anisocytes change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_BASO,,"Basophils (GI/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_EOS,,"Eosinophils (GI/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_HCT,,"Hematocrit change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_HGB,,"Hemoglobin (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_LYM,,"Lymphocytes (GI/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_MACROCY,,"Macrocytes change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_MCH,,"Ery. Mean Corpuscular Hemoglobin (fmol(Fe)) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_MCHC,,"Ery. Mean Corpuscular HGB Concentration (mmol/L) change from previous visit, relative to normal rang",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_MCV,,"Ery. Mean Corpuscular Volume (fL) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_MICROCY,,"Microcytes change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_MONO,,"Monocytes (GI/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_PLAT,,"Platelet (GI/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_POIKILO,,"Poikilocytes change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_POLYCHR,,"Polychromasia change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_RBC,,"Erythrocytes (TI/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHPV,PARAMCD_ADLBHPV,,text,,,_WBC,,"Leukocytes (GI/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMCD_ADLBHY,PARAMCD_ADLBHY,,text,,1,ALT,,Alanine Aminotransferase (U/L),,Yes,
CL.PARAMCD_ADLBHY,PARAMCD_ADLBHY,,text,,2,AST,,Aspartate Aminotransferase (U/L),,Yes,
CL.PARAMCD_ADLBHY,PARAMCD_ADLBHY,,text,,3,BILI,,Bilirubin (umol/L),,Yes,
CL.PARAMCD_ADLBHY,PARAMCD_ADLBHY,,text,,4,BILIHY,,Bilirubin 1.5 x ULN,,Yes,
CL.PARAMCD_ADLBHY,PARAMCD_ADLBHY,,text,,5,TRANSHY,,Transaminase 1.5 x ULN,,Yes,
CL.PARAMCD_ADLBHY,PARAMCD_ADLBHY,,text,,6,HYLAW,,Total Bili 1.5 x ULN and Transaminase 1.5 x ULN,,Yes,
CL.PARAMCD_ADQSADAS,PARAMCD_ADQSADAS,,text,,1,ACITM01,,Word Recall Task,,Yes,
CL.PARAMCD_ADQSADAS,PARAMCD_ADQSADAS,,text,,2,ACITM02,,Naming Objects And Fingers (Refer To 5 C,,Yes,
CL.PARAMCD_ADQSADAS,PARAMCD_ADQSADAS,,text,,3,ACITM03,,Delayed Word Recall,,Yes,
CL.PARAMCD_ADQSADAS,PARAMCD_ADQSADAS,,text,,4,ACITM04,,Commands,,Yes,
CL.PARAMCD_ADQSADAS,PARAMCD_ADQSADAS,,text,,5,ACITM05,,Constructional Praxis,,Yes,
CL.PARAMCD_ADQSADAS,PARAMCD_ADQSADAS,,text,,6,ACITM06,,Ideational Praxis,,Yes,
CL.PARAMCD_ADQSADAS,PARAMCD_ADQSADAS,,text,,7,ACITM07,,Orientation,,Yes,
CL.PARAMCD_ADQSADAS,PARAMCD_ADQSADAS,,text,,8,ACITM08,,Word Recognition,,Yes,
CL.PARAMCD_ADQSADAS,PARAMCD_ADQSADAS,,text,,9,ACITM09,,Attention/Visual Search Task,,Yes,
CL.PARAMCD_ADQSADAS,PARAMCD_ADQSADAS,,text,,10,ACITM10,,Maze Solution,,Yes,
CL.PARAMCD_ADQSADAS,PARAMCD_ADQSADAS,,text,,11,ACITM11,,Spoken Language Ability,,Yes,
CL.PARAMCD_ADQSADAS,PARAMCD_ADQSADAS,,text,,12,ACITM12,,Comprehension Of Spoken Language,,Yes,
CL.PARAMCD_ADQSADAS,PARAMCD_ADQSADAS,,text,,13,ACITM13,,Word Finding Difficulty In Spontaneous S,,Yes,
CL.PARAMCD_ADQSADAS,PARAMCD_ADQSADAS,,text,,14,ACITM14,,Recall Of Test Instructions,,Yes,
CL.PARAMCD_ADQSADAS,PARAMCD_ADQSADAS,,text,,15,ACTOT,,Adas-Cog(11) Subscore,,Yes,
CL.PARAMCD_ADQSCIBC,PARAMCD_ADQSCIBC,,text,,1,CIBICVAL,,CIBIC Score,,Yes,
CL.PARAMCD_ADQSNPIX,PARAMCD_ADQSNPIX,,text,,1,NPITM01S,,NPI-X Item A (Delusion) Score,,Yes,
CL.PARAMCD_ADQSNPIX,PARAMCD_ADQSNPIX,,text,,2,NPITM02S,,NPI-X Item B (Hallucination) Score,,Yes,
CL.PARAMCD_ADQSNPIX,PARAMCD_ADQSNPIX,,text,,3,NPITM03S,,NPI-X Item C (Agitation/Agression) Score,,Yes,
CL.PARAMCD_ADQSNPIX,PARAMCD_ADQSNPIX,,text,,4,NPITM04S,,NPI-X Item D (Depression/Dysphoria) Score,,Yes,
CL.PARAMCD_ADQSNPIX,PARAMCD_ADQSNPIX,,text,,5,NPITM05S,,NPI-X Item E (Anxiety) Score,,Yes,
CL.PARAMCD_ADQSNPIX,PARAMCD_ADQSNPIX,,text,,6,NPITM06S,,NPI-X Item F (Eupohoria/Elation) Score,,Yes,
CL.PARAMCD_ADQSNPIX,PARAMCD_ADQSNPIX,,text,,7,NPITM07S,,NPI-X Item G (Apathy/Indifference) Score,,Yes,
CL.PARAMCD_ADQSNPIX,PARAMCD_ADQSNPIX,,text,,8,NPITM08S,,NPI-X Item H (Disinhibition) Score,,Yes,
CL.PARAMCD_ADQSNPIX,PARAMCD_ADQSNPIX,,text,,9,NPITM09S,,NPI-X Item I (Irritability/Lability) Score,,Yes,
CL.PARAMCD_ADQSNPIX,PARAMCD_ADQSNPIX,,text,,10,NPITM10S,,NPI-X Item J (Aberrant Motor Behavior) Score,,Yes,
CL.PARAMCD_ADQSNPIX,PARAMCD_ADQSNPIX,,text,,11,NPITM11S,,NPI-X Item K (Night-time Behavior) Score,,Yes,
CL.PARAMCD_ADQSNPIX,PARAMCD_ADQSNPIX,,text,,12,NPITM12S,,NPI-X Item L (Appetite/Eating Change) Score,,Yes,
CL.PARAMCD_ADQSNPIX,PARAMCD_ADQSNPIX,,text,,13,NPTOT,,NPI-X (9) Total Score,,Yes,
CL.PARAMCD_ADQSNPIX,PARAMCD_ADQSNPIX,,text,,14,NPTOTMN,,Mean NPI-X (9) Total (Week 4 to 24),,Yes,
CL.PARAMCD_ADTTE,PARAMCD_ADTTE,,text,,1,TTDE,,Time to Derm. Event or End of Study,,Yes,
CL.PARAMCD_ADVS,PARAMCD_ADVS,,text,,1,SYSBP,,Systolic Blood Pressure (mmHg),,Yes,
CL.PARAMCD_ADVS,PARAMCD_ADVS,,text,,2,DIABP,,Diastolic Blood Pressure (mmHg),,Yes,
CL.PARAMCD_ADVS,PARAMCD_ADVS,,text,,3,PULSE,,Pulse Rate (beats/min),,Yes,
CL.PARAMCD_ADVS,PARAMCD_ADVS,,text,,4,WEIGHT,,Weight (kg),,Yes,
CL.PARAMCD_ADVS,PARAMCD_ADVS,,text,,5,HEIGHT,,Height (cm),,Yes,
CL.PARAMCD_ADVS,PARAMCD_ADVS,,text,,6,TEMP,,Temperature (C),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,1,18,,Sodium (mmol/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,2,19,,Potassium (mmol/L),,Yes,
